Летний бриз; Белый ром, Спрайт, Лайм, Лед; 3:4:1:1
Апельсиновая свежесть; Водка, Сок апельсиновый, Лед; 1:4:1
Кокосовый закат; Кокосовый ликер, Красный биттер, Спрайт; 2:3:3
Американская классика: Американский виски, Кола, Лайм; 3:5:2
Тропический рай; Белый ром, Кокосовый ликер, Сок апельсиновый, Лед; 3:3:2:2
Горячий вечер; Красный биттер, Водка, Лайм; 2:5:1
Освежающий день; Джин, Спрайт, Лимон; 3:4:1
Золотой закат; Американский виски, Белый вермут, Лед; 3:4:1
Карибская ночь; Белый ром, Кокосовый ликер, Кола; 3:3:2
Яркий всплеск; Джин, Красный биттер, Тоник; 3:2:3
Тихий омут; Водка, Белый вермут, Лед; 3:4:1
Цитрусовый взрыв; Джин, Сок апельсиновый, Лимон; 2:5:1
Северное сияние; Белый ром, Спрайт, Лед; 3:5:2
Экзотический коктейль; Кокосовый ликер, Спрайт, Лимон; 3:4:1
Туманный вечер; Водка, Белый вермут, Лед, Лимон; 2:3:1:1
Легкий бриз; Джин, Тоник, Лимон; 3:4:1
Кубинский ром; Белый ром, Кола, Лайм; 3:5:2
Фруктовый микс; Водка, Сок апельсиновый, Лимон; 3:4:1
Тропический коктейль; Кокосовый ликер, Спрайт, Лайм; 2:5:1
Северный ветер; Американский виски, Кола, Лед; 3:5:2
Зимняя сказка; Белый ром, Спрайт, Лед; 3:5:2
Летний отдых; Джин, Сок апельсиновый, Лайм; 2:4:2
Праздничный микс; Кокосовый ликер, Красный биттер, Спрайт; 3:3:2
Морской бриз; Белый ром, Спрайт, Лимон; 3:4:1
Энергетический взрыв; Водка, Кола, Лайм; 3:4:1
Фруктовый десерт; Кокосовый ликер, Сок апельсиновый, Лимон; 2:4:2
Горячий тропик; Белый ром, Красный биттер, Спрайт; 3:3:2
Звездная ночь; Американский виски, Белый вермут, Лимон; 3:3:1
Морозное утро; Водка, Спрайт, Лед; 3:4:1
Солнечный день; Джин, Сок апельсиновый, Лайм; 3:4:1


